"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM722706" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA142965_GSM722706_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM722707" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA142965_GSM722707_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM722708" "RUNX1" "BLOOD" "CD34+" "26" "PRJNA142965_GSM722708_RUNX1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM722168" "GATA3" "BLOOD" "Jurkat (Clone E6-1)" "74" "PRJNA142977_GSM722168_GATA3_peaks.narrowPeak" "T cell"
"GSM722169" "RUNX1" "BLOOD" "Jurkat" "75" "PRJNA142977_GSM722169_RUNX1_peaks.narrowPeak" "T cell"
"GSM722170" "RUNX1" "BLOOD" "Jurkat (Clone E6-1)" "2" "PRJNA142977_GSM722170_RUNX1_peaks.narrowPeak" "T cell"
"GSM762707" "MYC" "BLOOD" "RAJI" "76" "PRJNA144391_GSM762707_MYC_peaks.narrowPeak" "B cell"
"GSM762708" "MYC" "BLOOD" "CA46" "77" "PRJNA144391_GSM762708_MYC_peaks.narrowPeak" "Colon"
"GSM762709" "MYC" "BLOOD" "BLUE-1" "78" "PRJNA144391_GSM762709_MYC_peaks.narrowPeak" "Bone marrow"
"GSM762710" "MYC" "BLOOD" "BL-41" "79" "PRJNA144391_GSM762710_MYC_peaks.narrowPeak" "B cell"
"GSM762711" "MYC" "BLOOD" "RAMOS" "80" "PRJNA144391_GSM762711_MYC_peaks.narrowPeak" "Lymphocyte"
"GSM791403" "VDR" "GI" "LS-180" "81" "PRJNA145015_GSM791403_VDR_peaks.narrowPeak" "Colon"
"GSM791404" "VDR" "GI" "LS-180" "81" "PRJNA145015_GSM791404_VDR_peaks.narrowPeak" "Colon"
"GSM791405" "RXRA" "GI" "LS-180" "82" "PRJNA145015_GSM791405_RXRA_peaks.narrowPeak" "Colon"
"GSM791406" "RXRA" "GI" "LS-180" "82" "PRJNA145015_GSM791406_RXRA_peaks.narrowPeak" "Colon"
"GSM791411" "CEBPB" "GI" "LS-180" "83" "PRJNA145015_GSM791411_CEBPB_peaks.narrowPeak" "Colon"
"GSM791412" "CEBPB" "GI" "LS-180" "83" "PRJNA145015_GSM791412_CEBPB_peaks.narrowPeak" "Colon"
"GSM791413" "CDX2" "GI" "LS-180" "84" "PRJNA145015_GSM791413_CDX2_peaks.narrowPeak" "Colon"
"GSM791414" "CDX2" "GI" "LS-180" "84" "PRJNA145015_GSM791414_CDX2_peaks.narrowPeak" "Colon"
"GSM790207" "FLI1" "SARCOMA" "EWS502" "85" "PRJNA145117_GSM790207_FLI1_peaks.narrowPeak" "Bone"
"GSM790211" "FLI1" "VASCULAR" "HUVEC" "86" "PRJNA145117_GSM790211_FLI1_peaks.narrowPeak" "Endothelial"
"GSM785495" "SPI1" "BLOOD" "Monocytes" "87" "PRJNA145533_GSM785495_SPI1_peaks.narrowPeak" "Monocyte"
"GSM785496" "CEBPB" "BLOOD" "Monocytes" "88" "PRJNA145533_GSM785496_CEBPB_peaks.narrowPeak" "Monocyte"
"GSM785501" "SPI1" "BLOOD" "Macrophages" "89" "PRJNA145533_GSM785501_SPI1_peaks.narrowPeak" "Macrophage"
"GSM785502" "CEBPB" "BLOOD" "Macrophages" "90" "PRJNA145533_GSM785502_CEBPB_peaks.narrowPeak" "Macrophage"
